participant_id;A;B;C
500893;2;3;3
500897;3;2;4
500898;6;2;3
500900;3;2;2
500901;5;5;5
500902;5;3;5
500903;97;2;3
500905;2;2;3
500906;6;5;5
500907;5;5;5
500908;3;3;3
500910;3;3;3
500911;4;3;3
500912;6;4;3
500913;3;3;3
500914;6;6;6
500940;5;5;5
500942;3;3;3
500944;3;2;2
500945;6;3;4
500946;2;97;3
500951;4;4;4
500952;6;3;3
500953;3;3;3
500963;2;2;2
500965;3;4;3
500966;5;4;3
500967;2;3;3
500968;6;3;4
500969;3;2;2
500970;4;4;4
500972;3;4;4
500973;3;3;3
500974;6;4;4
500975;3;4;4
500976;3;3;3
500978;4;4;4
500979;2;2;2
500981;2;3;3
500982;6;6;6
500983;6;6;6
501012;3;3;3
501013;3;3;3
501014;5;5;5
501015;3;6;4
501017;2;1;2
501028;5;5;5
501035;4;3;3
501036;6;2;4
501037;3;3;4
501038;2;2;4
501039;4;3;4
501041;6;6;4
501042;6;6;6
501043;3;3;3
501044;6;4;4
501045;4;4;4
501046;4;4;3
501047;3;3;3
501048;2;3;2
501050;6;3;3
501052;3;3;3
501054;3;3;5
501055;6;6;6
501056;4;4;4
501057;4;3;3
501058;97;1;97
501059;5;5;5
501061;5;5;5
501062;4;2;4
501064;3;2;4
501079;3;4;3
501092;2;3;3
501097;4;3;3
501098;6;3;3
501099;3;3;3
501105;6;3;6
501106;3;2;2
501117;4;4;4
501118;3;6;3
501119;3;3;3
501120;3;3;6
501121;3;3;3
501122;4;4;3
501123;3;4;4
501124;3;3;3
501129;4;3;3
501130;4;3;3
501132;4;2;3
501133;3;4;3
501134;3;4;5
501135;3;3;3
501136;5;4;5
501138;4;4;4
501139;5;3;3
501181;3;3;3
501184;4;4;4
501187;4;4;4
501188;2;2;2
501191;99;99;99
501192;2;3;3
501193;5;5;5
501194;3;3;3
501209;97;3;3
501210;5;4;3
501214;5;5;5
501216;6;3;4
501217;3;3;3
501218;2;2;2
501221;5;5;5
501222;6;2;4
501223;4;4;4
501225;6;6;6
501226;3;3;3
501227;99;99;99
501228;3;3;3
501229;3;3;3
501230;99;99;99
501231;2;3;3
501232;2;2;2
501251;2;2;2
501252;5;3;3
501268;3;3;3
501270;6;6;6
501271;3;3;3
501272;97;97;97
501273;5;4;4
501274;4;4;4
501277;3;3;3
501278;4;2;3
501279;3;3;4
501280;5;4;5
501288;2;4;3
501298;2;4;4
501300;6;2;3
501301;5;5;5
501303;6;4;5
501305;3;3;2
501307;3;3;2
501308;2;3;4
501311;3;3;4
501312;5;4;5
501313;6;6;6
501316;3;3;3
501319;4;2;4
501321;3;3;3
501322;3;4;4
501323;3;2;3
501324;6;3;3
501325;4;3;4
501358;6;4;3
501359;5;4;6
501361;5;4;3
501367;5;5;5
501369;5;5;4
501387;5;5;5
501388;97;97;97
501390;3;3;3
501392;3;3;3
501393;99;99;99
501395;5;5;5
501398;5;5;5
501399;2;3;5
501401;4;2;3
501402;3;2;3
501406;3;3;2
501407;4;4;4
501408;5;3;3
501411;3;2;3
501412;4;4;4
501413;3;2;3
501416;2;2;2
501418;4;4;4
501419;6;5;5
501436;3;3;6
501454;3;3;3
501459;6;6;2
501461;6;6;6
501463;6;6;6
501464;6;6;6
501465;3;3;3
501466;4;3;4
501471;4;4;4
501483;3;2;3
501485;4;3;3
501486;5;4;4
501492;6;3;3
501493;4;5;5
501495;1;1;1
501496;6;3;3
501498;4;2;2
501500;3;3;3
501501;6;6;6
501509;3;3;6
501510;4;4;4
501526;3;3;3
501551;5;5;5
501552;4;4;4
501553;3;3;3
501554;6;6;2
501555;4;4;4
501556;3;3;3
501559;2;2;4
501560;6;6;5
501575;2;1;3
501578;4;3;5
501579;2;2;3
501580;4;3;6
501581;6;3;3
501583;4;4;5
501584;4;3;3
501585;4;3;3
501586;99;99;99
501588;5;5;5
501589;4;4;2
501591;2;2;2
501592;5;5;5
501593;1;1;2
501594;6;2;6
501595;5;5;5
501596;6;6;6
501598;2;2;2
501599;3;3;3
501600;6;6;6
501601;5;5;4
501604;2;2;3
501607;3;2;3
501618;4;3;3
501619;5;97;97
501637;99;99;99
501639;6;6;6
501640;5;5;5
501641;3;3;3
501642;5;5;5
501643;4;4;4
501644;5;5;5
501645;3;3;3
501646;3;3;3
501647;3;3;4
501649;2;2;3
501650;6;6;6
501651;3;3;3
501659;6;6;6
501660;5;4;4
501661;6;4;4
501663;6;3;3
501664;6;2;6
501666;2;2;4
501667;6;3;4
501668;4;2;4
501670;2;1;1
501672;3;3;4
501673;4;3;3
501674;3;3;97
501679;5;5;5
501681;6;3;3
501682;4;4;4
501694;3;3;3
501721;3;6;6
501722;5;5;5
501723;4;4;6
501724;4;2;3
501726;5;5;5
501727;3;6;6
501728;4;4;4
501729;5;2;2
501735;2;3;3
501736;99;99;99
501748;3;4;4
501749;5;5;5
501750;97;97;97
501752;3;3;3
501753;6;3;4
501754;2;3;4
501755;5;5;5
501757;3;3;2
501758;5;5;4
501759;99;99;99
501764;4;4;4
501765;3;2;2
501767;4;2;6
501769;3;3;3
501771;6;5;5
501787;6;6;6
501788;6;3;3
501809;5;4;4
501810;5;4;2
501811;6;2;4
501814;6;3;6
501817;4;3;3
501832;4;4;4
501835;2;2;6
501837;5;5;5
501839;3;3;3
501842;4;4;4
501845;6;6;6
501846;6;3;3
501848;4;3;3
501849;5;5;5
501852;5;4;4
501853;6;3;6
501854;97;97;97
501855;2;3;3
501856;2;2;2
501857;3;4;3
501858;3;97;97
501859;3;2;2
501860;4;3;3
501861;4;3;3
501864;3;4;3
501883;5;2;2
501884;5;3;3
501912;3;3;3
501913;4;2;3
501932;3;3;3
501933;4;3;3
501934;2;2;4
501937;3;3;3
501939;3;3;4
501941;5;6;6
501942;3;2;3
501943;3;3;3
501947;97;97;97
501948;5;5;5
501949;3;2;3
501951;5;4;4
501952;6;4;4
501954;3;3;3
501956;5;5;5
501957;3;3;3
501958;2;2;3
501996;6;6;6
501997;3;3;5
502001;2;2;6
502003;5;3;6
502010;4;3;3
502014;5;5;5
502023;3;3;3
502025;4;3;6
502027;5;5;5
502029;5;4;4
502032;3;4;4
502033;4;3;3
502034;6;4;4
502035;6;5;6
502036;5;5;5
502038;99;99;99
502041;6;6;6
502042;2;3;4
502044;6;3;3
502055;3;4;4
502085;6;4;4
502086;97;2;3
502091;4;4;5
502109;4;4;4
502110;5;4;4
502111;6;4;4
502116;5;5;5
502117;3;3;3
502118;6;6;6
502119;4;3;4
502120;4;4;4
502121;5;3;3
502126;4;4;4
502127;6;3;3
502129;6;6;6
502130;3;4;4
502170;3;2;3
502172;3;3;3
502179;6;2;2
502181;4;4;4
502188;6;6;6
502190;4;2;2
502191;3;2;3
502192;3;2;2
502193;3;3;3
502194;6;3;6
502195;3;3;3
502197;99;99;99
502201;6;4;6
502202;6;6;6
502204;4;4;3
502206;6;6;6
502207;6;6;6
502208;4;3;3
502210;2;3;3
502213;97;97;97
502215;4;4;4
502216;6;3;4
502230;4;4;4
502231;5;4;4
502252;6;6;6
502258;4;4;5
502259;3;3;3
502260;4;3;3
502262;4;3;3
502265;3;2;6
502266;3;2;3
502267;3;3;3
502268;3;3;3
502269;3;3;3
502270;3;3;3
502280;4;3;6
502283;6;6;6
502286;3;3;3
502288;5;3;3
502292;3;3;3
502293;6;6;6
502295;4;3;4
502297;6;3;3
502298;6;3;3
502301;3;1;2
502302;3;3;4
502303;6;6;6
502305;3;3;3
502307;2;3;3
502311;6;2;4
502312;5;3;4
502313;2;2;2
502314;2;2;6
502316;2;2;3
502317;99;99;99
502318;6;6;6
502319;3;3;3
502321;2;2;6
502322;6;6;6
502324;4;5;4
502337;2;2;2
502358;5;5;5
502360;6;6;6
502361;3;3;3
502363;6;6;6
502369;4;3;4
502370;2;2;2
502371;97;5;97
502384;3;2;6
502385;5;5;5
502387;6;97;97
502388;2;2;3
502391;5;4;5
502392;3;3;2
502393;5;5;98
502394;98;97;3
502396;6;3;3
502398;4;2;2
502399;2;2;3
502400;4;4;3
502404;5;5;5
502439;5;4;4
502440;3;4;4
502442;3;3;3
502443;6;5;5
502446;2;3;3
502447;2;2;4
502453;6;6;6
502462;6;2;3
502463;3;3;3
502464;6;6;5
502465;3;4;4
502469;3;2;3
502474;4;4;4
502475;2;2;3
502476;3;3;3
502479;6;6;6
502481;6;6;6
502483;99;99;99
502484;6;2;2
502488;6;3;3
502489;99;99;99
502490;4;4;3
502491;97;2;3
502504;4;3;4
502532;99;99;99
502533;4;4;4
502534;5;5;4
502535;6;6;6
502551;3;3;3
502552;4;3;4
502553;97;97;6
502555;5;5;4
502559;3;3;3
502561;6;97;3
502563;6;4;4
502569;97;97;97
502570;2;2;4
502571;2;2;2
502574;3;4;5
502575;3;3;4
502624;6;5;6
502625;4;3;2
502626;5;5;5
502627;5;5;5
502634;4;2;2
502636;5;4;4
502637;4;4;3
502638;2;1;6
502653;3;3;3
502654;6;6;6
502655;5;5;6
502659;4;4;4
502660;6;6;6
502661;5;5;5
502663;4;3;3
502664;2;2;3
502665;3;2;3
502666;2;3;5
502668;6;2;3
502669;3;4;4
502670;6;3;3
502672;5;5;5
502673;5;4;4
502675;99;99;99
502678;5;5;5
502680;5;5;5
502681;2;2;2
502683;3;5;4
502685;4;4;4
502686;3;3;3
502688;3;2;2
502689;2;2;3
502691;6;2;4
502692;4;4;4
502709;2;2;4
502710;3;3;3
502711;6;3;3
502712;6;2;3
502741;6;3;6
502742;3;3;4
502743;6;2;2
502766;5;5;4
502769;3;3;3
502770;5;4;4
502771;2;2;2
502775;4;3;3
502777;2;2;4
502778;3;3;3
502782;3;2;2
502786;3;2;3
502788;5;5;4
502789;5;5;5
502790;3;2;2
502792;5;5;5
502800;6;6;6
502801;2;2;2
502802;3;1;4
502806;4;3;3
502808;5;5;6
502809;5;5;5
502851;6;2;2
502852;6;2;6
502853;3;2;3
502857;6;6;6
502858;6;3;3
502860;5;3;4
502866;2;2;3
502867;6;2;2
502873;2;3;3
502874;3;2;6
502876;2;2;3
502880;6;6;6
502881;5;5;5
502884;5;4;4
502885;3;3;3
502889;4;3;2
502893;3;1;2
502894;5;5;5
502895;3;2;6
502896;6;4;6
502897;6;5;5
502899;3;4;4
502900;5;4;3
502901;3;3;3
502902;3;3;3
502903;5;4;4
502904;6;6;6
502906;6;6;6
502935;5;5;5
502936;3;2;2
502937;3;3;3
502962;6;6;3
502965;3;5;3
502972;4;2;2
502973;6;2;4
502974;4;2;3
502975;6;3;3
502976;3;2;4
502984;3;3;3
502986;5;5;5
502987;2;2;3
502988;3;3;3
503001;2;2;6
503002;3;3;3
503003;4;3;3
503004;3;3;3
503009;2;2;4
503010;2;2;2
503011;5;4;4
503014;99;99;99
503016;3;2;4
503018;5;3;3
503019;1;2;3
503024;3;4;3
503026;3;3;4
503027;6;4;4
503028;5;5;5
503031;3;3;3
503032;4;4;4
503033;2;4;3
503034;5;4;3
503075;3;3;6
503079;5;2;2
503080;4;4;3
503081;4;3;3
503082;6;2;3
503083;99;99;99
503085;4;5;6
503088;2;3;3
503089;5;5;5
503090;2;3;3
503093;6;6;6
503095;3;2;2
503109;4;4;4
503110;2;2;3
503112;3;3;3
503113;2;2;5
503115;2;2;3
503117;3;2;2
503118;2;1;1
503119;97;97;97
503121;2;2;2
503124;2;2;3
503127;3;4;5
503130;6;6;6
503133;3;2;3
503134;2;2;2
503135;3;3;3
503136;3;2;3
503137;5;4;4
503139;2;1;3
503140;3;2;3
503142;4;4;4
503143;3;4;4
503164;2;2;5
503165;5;2;2
503193;4;4;4
503195;6;6;6
503196;3;2;3
503198;6;6;4
503200;6;6;6
503201;4;5;4
503202;3;2;3
503206;3;3;3
503209;4;3;3
503217;3;2;3
503218;5;5;5
503219;2;1;1
503220;4;3;4
503222;3;2;3
503223;3;3;3
503225;6;6;4
503230;6;5;5
503232;3;3;4
503234;3;3;4
503235;3;4;4
503237;6;3;4
503239;2;2;3
503240;3;2;2
503243;3;2;3
503244;4;4;4
503245;5;5;2
503247;5;5;5
503266;4;2;2
503300;4;3;3
503301;5;3;5
503302;3;4;3
503303;4;3;2
503322;2;3;1
503325;6;6;6
503326;3;3;3
503327;2;2;3
503329;5;5;5
503330;3;3;3
503331;5;4;5
503334;2;2;4
503335;3;3;3
503337;6;6;6
503339;5;5;5
503340;4;4;4
503341;2;2;6
503342;2;2;2
503344;6;6;6
503345;3;4;4
503347;2;2;3
503348;4;2;3
503352;3;3;4
503355;97;97;97
503398;6;6;6
503400;4;3;3
503401;4;2;3
503402;4;4;4
503404;4;2;3
503407;4;3;3
503408;3;2;2
503409;6;6;6
503411;6;6;6
503416;6;6;6
503429;99;99;99
503430;5;5;3
503431;3;2;3
503432;6;6;6
503434;4;3;3
503435;4;4;4
503436;5;3;3
503439;4;4;3
503444;3;2;3
503445;2;2;2
503447;2;2;4
503448;97;97;97
503451;6;6;5
503453;2;2;2
503454;6;3;3
503455;2;1;5
503456;4;4;4
503457;4;3;3
503458;4;4;4
503459;3;3;2
503460;2;2;2
503463;6;6;6
503468;3;3;3
503486;6;6;6
503487;5;4;3
503511;3;2;3
503512;5;5;5
503517;1;3;3
503518;6;3;3
503519;5;5;5
503520;4;4;4
503522;3;3;3
503540;3;3;3
503542;2;2;4
503545;2;2;2
503548;3;3;3
503552;5;4;4
503553;6;6;6
503554;5;5;5
503555;6;6;6
503557;1;1;1
503558;1;2;6
503559;3;4;3
503560;3;4;3
503561;3;3;3
503562;99;99;99
503563;6;6;5
503566;2;2;2
503567;5;4;5
503568;6;5;4
503586;5;3;6
503601;5;5;5
503603;2;1;1
503608;6;2;3
503609;2;2;4
503610;5;2;6
503611;3;2;2
503618;3;4;6
503621;3;4;5
503629;3;3;3
503630;4;3;3
503633;4;4;3
503634;2;2;2
503639;2;2;3
503640;6;6;6
503641;5;5;5
503642;3;3;3
503644;3;3;3
503645;3;3;3
503650;3;2;3
503651;4;3;3
503655;1;1;5
503656;3;2;2
503657;4;2;3
503660;4;3;4
503662;6;4;6
503663;3;4;3
503664;5;5;5
503701;6;6;6
503702;2;2;2
503705;3;3;3
503711;2;2;2
503712;2;2;1
503713;5;4;4
503714;4;4;3
503729;4;4;4
503734;2;1;5
503736;5;5;5
503737;2;2;3
503740;4;4;4
503741;5;5;5
503742;5;4;5
503743;3;3;3
503745;6;6;6
503748;1;1;1
503749;4;4;4
503750;6;3;4
503751;2;1;1
503753;3;2;3
503761;6;5;5
503762;3;3;4
503764;3;3;3
503765;4;2;6
503767;2;2;3
503785;3;2;3
503786;6;6;6
503812;6;3;6
503814;6;4;6
503815;4;3;3
503817;3;3;3
503818;99;99;99
503819;3;2;3
503821;3;3;3
503823;4;3;3
503824;4;4;4
503827;3;2;2
503829;3;2;3
503838;2;2;4
503843;3;3;3
503844;5;5;5
503849;4;3;3
503852;3;3;4
503853;3;2;2
503858;2;2;2
503860;4;5;5
503861;3;3;3
503868;6;6;6
503869;2;2;3
503870;4;3;3
503872;4;2;5
503874;5;5;5
503875;6;6;6
503876;6;6;6
503910;2;3;2
503913;3;3;3
503914;3;3;6
503915;3;3;4
503931;5;5;5
503932;4;4;4
503934;4;3;3
503940;3;3;3
503943;3;3;3
503946;5;4;4
503947;3;3;3
503952;4;4;4
503953;2;2;3
503954;4;3;3
503958;4;3;4
503959;4;3;3
503982;3;3;6
503985;6;6;6
503992;6;6;6
503996;5;4;5
504003;6;4;3
504004;3;2;2
504005;2;4;4
504006;2;4;4
504015;6;6;6
504016;3;3;3
504020;3;3;3
504022;2;2;2
504023;3;5;4
504024;2;2;2
504025;6;6;6
504028;3;3;3
504032;3;3;3
504033;3;2;3
504034;5;4;4
504042;4;4;4
504045;4;4;4
504046;3;3;5
504050;1;2;3
504051;3;3;3
504052;4;3;3
504053;3;3;3
504070;6;4;6
504071;6;6;6
504091;5;5;6
504092;3;3;5
504094;3;3;3
504096;3;3;3
504097;4;4;4
504098;2;2;3
504099;5;5;5
504100;6;6;6
504101;6;6;4
504102;5;4;4
504109;99;99;99
504110;6;6;6
504114;3;4;6
504121;3;3;3
504123;2;2;5
504124;5;4;3
504125;5;2;3
504130;6;4;4
504131;5;5;4
504136;3;2;3
504137;6;6;6
504147;5;5;5
504165;6;6;3
504166;4;3;3
504167;3;3;3
504171;4;3;3
504172;4;4;3
504180;3;4;3
504181;4;4;4
504182;3;2;3
504183;5;5;5
504184;4;3;4
504190;3;2;2
504191;6;3;5
504192;3;3;97
504197;4;4;4
504198;3;2;6
504199;4;4;5
504202;5;4;4
504204;4;4;4
504207;6;6;6
504219;6;6;6
504220;2;2;2
504221;6;3;4
504233;1;1;2
504240;3;3;3
504241;6;2;4
504243;4;4;4
504244;6;6;6
504245;3;3;3
504248;2;2;2
504250;3;3;3
504251;6;4;4
504252;6;6;3
504257;2;2;2
504259;5;5;5
504262;6;6;6
504263;4;3;4
504265;2;2;2
504266;3;2;2
504269;99;99;99
504272;3;2;2
504276;99;99;99
504278;6;6;6
504279;3;3;3
504281;6;2;2
504282;4;4;4
504283;2;2;2
504286;3;2;3
504288;6;2;3
504290;6;6;6
504292;6;3;3
504327;6;2;6
504329;2;2;3
504352;3;3;3
504355;3;3;6
504356;3;3;5
504357;4;4;4
504358;5;5;6
504364;4;4;97
504365;4;3;3
504368;3;3;2
504371;4;3;3
504377;5;5;5
504414;99;99;99
504415;2;2;2
504416;3;3;3
504419;3;3;3
504422;3;3;3
504430;3;3;4
504435;4;4;5
504440;3;3;3
504441;6;6;6
504442;5;5;5
504443;4;4;4
504444;6;6;6
504446;3;2;2
504449;2;4;4
504451;3;2;3
504452;6;6;6
504453;3;2;2
504455;6;6;6
504458;5;5;5
504460;3;2;3
504464;5;5;5
504466;1;1;3
504467;3;2;4
504468;4;4;4
504473;3;3;3
504476;5;4;4
504479;3;3;3
504485;1;1;1
504511;6;3;97
504514;99;99;99
504515;2;2;6
504520;4;5;4
504522;6;2;3
504523;5;5;5
504540;3;3;3
504542;4;4;5
504544;2;2;2
504548;4;4;4
504549;5;3;3
504550;2;2;2
504551;1;1;1
504553;5;4;4
504554;97;97;97
504555;5;6;6
504558;5;4;4
504559;6;6;97
504561;2;2;6
504563;3;2;2
504568;3;6;6
504569;3;4;4
504570;3;3;2
504572;5;5;4
504573;2;2;4
504575;2;2;2
504580;3;2;3
504584;99;99;99
504619;3;3;3
504623;3;3;3
504634;4;4;4
504635;99;99;99
504639;3;4;4
504642;2;2;2
504644;2;2;4
504645;3;2;3
504647;3;2;4
504649;2;4;3
504653;4;3;3
504654;3;2;2
504655;6;6;6
504657;6;6;6
504658;3;3;3
504659;3;3;3
504660;97;97;97
504661;4;3;3
504664;2;2;3
504668;2;3;3
504669;2;2;2
504673;3;2;2
504679;2;4;4
504680;3;3;3
504682;6;6;6
504728;6;2;2
504729;2;5;4
504732;6;4;4
504737;5;2;2
504739;3;2;3
504740;3;3;3
504741;3;3;3
504742;6;6;6
504745;97;97;97
504750;3;3;3
504751;5;5;5
504753;2;2;2
504754;2;1;2
504756;4;4;4
504758;5;5;5
504760;6;4;6
504761;1;1;2
504762;6;6;6
504765;99;99;99
504766;3;3;3
504771;97;97;97
504773;2;2;3
504779;3;3;4
504785;2;2;4
504791;6;6;4
504793;6;6;6
504819;6;5;5
504834;3;3;3
504835;5;4;4
504836;6;5;4
504838;6;3;6
504840;4;4;3
504841;2;2;3
504842;3;2;2
504843;5;5;5
504846;3;4;6
504847;6;6;3
504849;5;3;2
504850;2;3;4
504851;2;2;4
504852;6;6;6
504853;5;5;3
504854;6;4;6
504855;3;3;6
504864;3;3;3
504867;6;3;6
504872;2;2;3
504873;6;6;6
504915;99;99;99
504919;3;3;2
504941;6;4;5
504942;5;3;4
504945;3;2;6
504951;3;4;4
504953;6;2;3
504956;3;2;3
504962;6;3;3
504965;4;4;4
504966;4;5;4
504971;99;99;99
504972;4;4;3
504975;3;3;3
504985;4;2;3
505006;6;6;6
505009;6;5;5
505015;5;5;5
505017;99;99;99
505020;4;4;4
505023;6;6;6
505028;6;6;6
505029;3;3;3
505031;6;6;6
505033;3;3;6
505038;1;1;1
505039;3;3;3
505040;6;6;6
505045;6;6;6
505051;2;4;4
505057;5;2;3
505062;2;2;4
505063;3;3;3
505066;6;6;6
505089;4;5;5
505094;6;6;6
505096;3;3;2
505098;3;2;2
505100;3;3;2
505118;4;4;4
505119;4;3;3
505126;3;3;3
505128;2;2;3
505129;6;6;6
505139;5;5;5
505140;6;6;6
505145;5;5;5
505147;4;4;4
505150;3;2;3
505153;4;5;6
505156;97;2;3
505159;6;6;6
505173;6;6;6
505174;6;6;6
505195;4;3;2
505228;5;2;4
505238;4;4;4
505239;3;3;4
505240;6;6;6
505241;4;3;3
505242;3;3;2
505244;5;5;4
505246;6;6;6
505248;1;1;1
505250;3;3;3
505251;5;5;5
505252;4;4;4
505256;1;1;1
505257;6;6;6
505261;5;5;5
505263;6;6;6
505266;6;3;3
505268;6;6;6
505270;6;6;6
505315;2;2;2
505326;3;3;3
505327;3;3;4
505335;6;6;6
505344;6;4;3
505350;1;2;2
505351;2;2;2
505353;5;5;5
505354;3;2;2
505360;5;3;3
505362;3;3;3
505367;5;5;5
505369;3;3;3
505371;3;4;6
505373;6;97;2
505379;6;3;6
505383;6;1;3
505387;4;3;3
505390;5;5;5
505405;6;6;6
505439;6;6;6
505448;3;1;5
505452;5;5;5
505463;4;3;3
505464;4;5;4
505467;6;6;6
505469;3;4;4
505470;1;1;1
505477;6;5;4
505479;6;5;5
505481;6;6;6
505482;3;3;4
505488;6;6;6
505489;6;6;6
505491;6;6;6
505492;3;3;3
505493;6;6;6
505509;6;3;3
505510;99;99;99
505532;3;2;4
505534;3;3;3
505542;2;2;2
505550;5;5;5
505551;6;5;5
505556;6;6;6
505569;5;4;3
505573;2;1;1
505575;3;4;3
505579;5;5;5
505586;6;3;3
505588;5;5;3
505589;99;99;99
505594;6;2;3
505599;4;4;4
505601;6;6;6
505603;2;2;3
505605;6;2;3
505621;4;3;3
505622;5;4;3
505650;3;6;3
505652;4;5;5
505655;5;2;3
505658;6;6;6
505659;3;3;3
505663;4;2;2
505666;3;3;3
505688;3;3;3
505690;3;3;4
505692;2;2;2
505693;3;2;4
505698;6;3;3
505700;5;2;2
505702;4;3;4
505707;3;3;2
505710;4;4;3
505712;6;6;6
505714;6;6;6
505715;3;3;3
505717;6;6;6
505763;3;3;3
505768;5;3;6
505771;2;2;4
505776;6;4;4
505787;6;6;6
505789;6;6;6
505791;2;2;2
505795;6;6;6
505797;6;3;6
505801;4;97;4
505808;97;97;97
505809;6;2;2
505811;3;3;5
505812;6;6;6
505826;3;3;3
505848;3;3;3
505850;2;2;2
505851;6;6;6
505852;6;2;2
505858;3;2;3
505860;6;6;6
505861;6;6;6
505869;2;2;4
505877;2;2;2
505880;5;5;4
505883;6;3;3
